"Carimbo de data/hora","Em qual rede de ensino você estuda?","Qual tipo de Ensino?","Você tem acesso à Internet?","Que tipo de internet você tem disponível em sua residência? (pode escolher mais de uma opção)","Quais recursos tecnológicos você tem acesso em casa? (pode escolher mais de uma opção)","Você tem conseguido estudar na quarentena?","Qual tipo de ambiente para estudo você tem em casa?","Por qual meio?","Como você considera a qualidade dos seus estudos?","Tem algum comentário relacionado impacto da quarentena nos seus estudos?"
"2020/06/17 9:35:26 PM GMT-3","Pública","Ensino Técnico","Sim, diariamente","Fixa por assinatura (fibra, cabo ou rádio, própria ou compartilhada)","Smartphone e/ou Tablet - Uso pessoal","Sim","Ambiente privativo, confortável e silencioso","Por internet (vídeo aula, pdf, entre outros)","5",""
"2020/06/17 9:35:54 PM GMT-3","Privada","Ensino Médio;Ensino Técnico","Sim, diariamente","Fixa por assinatura (fibra, cabo ou rádio, própria ou compartilhada)","Computador de mesa (desktop) - Uso pessoal","Sim","Ambiente privativo, confortável e silencioso","Por internet (vídeo aula, pdf, entre outros)","5",""
"2020/06/17 9:36:10 PM GMT-3","Pública","Ensino Superior","Sim, diariamente","Fixa por assinatura (fibra, cabo ou rádio, própria ou compartilhada)","Computador portátil (notebook, netbook) - Uso pessoal","Sim","Ambiente privativo, confortável e silencioso","Por internet (vídeo aula, pdf, entre outros)","5",""
"2020/06/17 9:36:45 PM GMT-3","Pública","Ensino Técnico;Ensino Superior","Sim, diariamente","Fixa por assinatura (fibra, cabo ou rádio, própria ou compartilhada)","Computador de mesa (desktop) - Uso pessoal","Sim","Ambiente privativo, confortável e silencioso","Por internet (vídeo aula, pdf, entre outros)","3",""
"2020/06/17 9:38:04 PM GMT-3","Pública","Ensino Técnico","Sim, diariamente","Sempre disponível no meu smartphone (3G/4G)","Smartphone e/ou Tablet - Uso pessoal","Às vezes","Ambiente privativo, confortável e silencioso","Por internet (vídeo aula, pdf, entre outros)","5",""
"2020/06/17 9:47:31 PM GMT-3","Pública","Ensino Superior","Sim, diariamente","Fixa por assinatura (fibra, cabo ou rádio, própria ou compartilhada)","Computador portátil (notebook, netbook) - Uso pessoal","Às vezes","Ambiente privativo, confortável e silencioso","Por internet (vídeo aula, pdf, entre outros)","3","Nenhum"
"2020/06/17 9:54:54 PM GMT-3","Pública","Ensino Técnico","Sim, diariamente","Fixa por assinatura (fibra, cabo ou rádio, própria ou compartilhada)","Notebook e smartphone - uso pessoal","Às vezes","Ambiente compartilhado e/ou não silencioso","Por internet (vídeo aula, pdf, entre outros)","3","-"
"2020/06/17 9:55:11 PM GMT-3","Pública","Ensino Médio","Sim, diariamente","Fixa por assinatura (fibra, cabo ou rádio, própria ou compartilhada)","Computador portátil (notebook, netbook) - Uso compartilhado","Sim","Ambiente compartilhado e/ou não silencioso","Por internet (vídeo aula, pdf, entre outros)","1","Está atrapalhando os meus estudos para o ENEM"
"2020/06/17 10:10:20 PM GMT-3","Pública","Ensino Técnico","Sim, diariamente","Fixa por assinatura (fibra, cabo ou rádio, própria ou compartilhada)","Computador portátil (notebook, netbook) - Uso pessoal","Sim","Ambiente compartilhado e/ou não silencioso","Por internet (vídeo aula, pdf, entre outros)","4","Sem comentários. "
"2020/06/17 10:13:14 PM GMT-3","Pública","Ensino Técnico","Sim, diariamente","Fixa por assinatura (fibra, cabo ou rádio, própria ou compartilhada)","Smartphone e/ou Tablet - Uso pessoal","Sim","Ambiente privativo, confortável e silencioso","Por internet (vídeo aula, pdf, entre outros)","5","Tenho conseguido estudar e até tenho tido mais tempo, pois a pandemia tem trazido o isolamento social e com o isolamento mais tempo livre."
"2020/06/18 1:16:41 AM GMT-3","Pública","Ensino Técnico;Ensino Superior","Sim, diariamente","Fixa por assinatura (fibra, cabo ou rádio, própria ou compartilhada)","Computador portátil (notebook, netbook) - Uso compartilhado","Sim","Ambiente compartilhado e/ou não silencioso","Material Didático","4","nao"
"2020/06/18 2:07:49 AM GMT-3","Pública","Ensino Médio Integrado ao Técnico","Mensalmente","Fixa por assinatura (fibra, cabo ou rádio, própria ou compartilhada)","Computador de mesa (desktop) - Uso compartilhado","Não","Ambiente compartilhado e/ou não silencioso","Por internet (vídeo aula, pdf, entre outros)","2","A cada dia um impacto diferente na minha vida, afetando muito psicologicamente, tanto no financeiro, quanto em outros problemas que surgem..."
"2020/06/18 8:16:47 AM GMT-3","Privada","Ensino Médio","Sim, diariamente","Fixa por assinatura (fibra, cabo ou rádio, própria ou compartilhada)","Computador portátil (notebook, netbook) - Uso pessoal","Sim","Não possui ambiente específico para estudo","Por internet (vídeo aula, pdf, entre outros)","4","Não"
"2020/06/18 2:04:11 PM GMT-3","Pública","Ensino Técnico;Ensino Superior","Sim, diariamente","Disponível no smartphone de outros quando tem crédito (3G/4G)","Computador portátil (notebook, netbook) - Uso pessoal","Às vezes","Não possui ambiente específico para estudo","Por internet (vídeo aula, pdf, entre outros)","4","falta de dinheiro"
